"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"PLA2G6",18.5569123919102,0,20.0911046897985,51.1197217934348,60.4496607778268,20.0982593215813,28.2369692244679,4.10819196400757
"PLA2G7",170.105030259177,155.345558026109,645.785507886381,211.29485007953,251.280942841163,240.121308736787,167.881617025473,280.384101543517
"PLA2R1",0,0,0,0,0,0,0,0
"PLAA",791.76159538817,737.653140565696,697.448348517291,955.597999391941,955.341697782911,817.681813451704,831.707093520691,611.093554646126
"PLAC1",0,0,0,0,0,0,0,0
"PLAC8",1329.91205475357,1314.24248170555,1918.70049787576,21595.6968707092,24074.3737266361,2583.15522438429,10775.2274560569,5248.21523401967
"PLAC8L1",9.27845619595512,7.62432186631211,1.43507890641418,3.40798145289565,5.9264373311595,3.17340936656547,4.10719552355897,1.02704799100189
"PLAC9",0,0,0,0,0,0,0,0
"PLAG1",47.9386903457681,42.8868104980056,90.4099711040933,57.254088408647,56.8937983791312,32.7918967878432,22.5895753795743,38.0007756670701
"PLAGL1",306.189054466519,266.851265320924,393.211620357485,196.29973168679,293.951291625511,353.306242810956,297.771675458025,338.925837030625
"PLAGL2",3746.94989379988,3086.89731562311,2861.54733938987,5662.70198213142,4237.40269177904,3261.20702570712,4946.09020924588,3907.9176057622
"PLAT",3.09281873198504,0,0,0,1.1852874662319,0,1.02679888088974,0
"PLAU",0,36.2155288649825,0,36.1246034006939,0,29.6184874212777,14.8885837729013,40.0548716490738
"PLAUR",2918.07447362789,3538.63838620211,3554.69045118792,3346.63778674353,3586.67987281773,3462.18961892293,4716.60065936703,4009.59535687139
"PLB1",960.320216281355,1113.15099248157,1615.89884862237,1421.80986214807,1169.87872917088,1529.58331468456,1496.5593688968,2501.88890608061
"PLBD1",19558.9856610734,22986.3773866977,25788.3679482628,41927.0326223941,50838.1647141524,23349.9461191887,31326.6070570651,20679.6112988231
"PLBD2",2673.74179380107,2650.40488877675,2518.56348075688,3563.38540714769,2925.28946666033,2967.13775773872,3017.76191093495,3633.6957921647
"PLCB1",1243.31313025799,1765.03051205125,1105.01075793892,586.854406188631,578.420283521167,1253.49669979336,554.984795120905,891.477656189643
"PLCB2",13340.8736004175,18553.7872616705,16275.2298776432,14365.3234202458,13015.6416666925,12299.0769016856,13377.649219672,18485.8367900431
"PLCB3",1821.67023313919,1399.06306246827,1834.03084239732,1261.63473386197,1264.70172646944,1526.40990531799,1862.09977049355,1828.14542398337
"PLCB4",0,0,0,0,0,0,0,0
"PLCD1",256.703954754758,182.030684558202,130.59218048369,276.046497684548,375.736126795512,141.745618373258,410.206152915452,200.274358245369
