"gene","module"
"IGLV1-47","purple"
"PSORS1C3","blue"
"ADGRL3","green"
"SCN7A","tan"
"IGHV3-15","purple"
"TMEM225","blue"
"SELE","turquoise"
"LGALS1","turquoise"
"MUC1","red"
"ADAMTS6","turquoise"
"CCNB1","brown"
"CCDC198","blue"
"TCEA3","blue"
"ERAP2","greenyellow"
"VTCN1","blue"
"KLK11","red"
"SLC2A5","magenta"
"PRDX4","blue"
"CERS4","blue"
"NPTX1","brown"
"UGT1A8","brown"
"YIF1B","brown"
"ATP1A2","green"
"IGHV1-69","purple"
"KLK8","brown"
"CLDN4","brown"
"H4C11","brown"
"SEZ6L","pink"
"SFRP1","green"
"SERTAD4BP","pink"
"GBA3","magenta"
"CD36","green"
"ECT2","brown"
"NOS2","magenta"
"CLCA4","greenyellow"
"105373323","blue"
"CALB1","greenyellow"
"AKR1C3","brown"
"102724852","green"
"SLC16A3","brown"
"MLPH","yellow"
"SLITRK6","brown"
"RNU5A-1","red"
"IGHV3-53","purple"
"HMGA2","brown"
"LOC285804","blue"
"IGHV1-2","purple"
