"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AOC1",202.866633944345,5.09028666184515,0.895617466499309,5.59940759298262e-15,9.85622995628418e-13
"LINC01152",51.394183473486,-4.51085041580174,0.747098702517429,5.84287218908456e-15,1.02074537829609e-12
"IGKV3-20",197.478623434955,3.4948395633601,0.558304433283042,6.38400709335354e-15,1.10515046402747e-12
"TMC7",52.8731801639639,3.28609453059055,0.488580722865645,6.42114536878454e-15,1.10515046402747e-12
"CAMK2N2",23.1216981330248,-4.02679287267064,0.615925477322041,7.23444745812879e-15,1.23597343154134e-12
"BACE1",1084.64278653026,-2.84383868875555,0.432874739312457,8.24469823958007e-15,1.39828878537696e-12
"IAPP",373.332847451866,-4.78934849395299,0.85902678884637,9.16961650040492e-15,1.54388434338339e-12
"GRB14",106.959551697628,-3.35203089566227,0.547896195617241,1.10527272087753e-14,1.84755479637334e-12
"UGT1A1",41.9212769990464,6.35492389730789,1.0325207041511,1.21744127166868e-14,2.02051771051584e-12
"COCH-AS1",35.6829159846418,-2.67563911354635,0.39376872748783,1.25932851491534e-14,2.07521262723814e-12
"KLF15",115.159831746147,-4.06635296512831,0.719022872294063,1.30327537541445e-14,2.1325072780109e-12
"ARMC3",89.6744975449972,-3.46607913162077,0.548013577178313,1.3984293714529e-14,2.25642405872972e-12
"P2RX1",215.369369781925,-3.8699717958579,0.634034404924266,1.39542891565511e-14,2.25642405872972e-12
"DCDC2",269.140571705332,-3.51502789707083,0.568192083003019,1.43192762693833e-14,2.29454058013187e-12
"VILL",139.414822671925,2.78160203389257,0.420240807985221,1.67549050452406e-14,2.6664398542888e-12
"PKHD1",1250.0266514898,-4.04443235798936,0.708078065603217,1.82018862789637e-14,2.87701243327701e-12
"UGT1A4",25.5228367599389,5.59556924446178,0.909997047305175,2.1258352018473e-14,3.30826398177338e-12
"AQP12A",186.618574108569,-6.28109695606346,1.28512795708021,2.13574175711645e-14,3.30826398177338e-12
"DAPP1",61.4725479666758,2.49873429603921,0.368884712093582,2.11270710086887e-14,3.30826398177338e-12
"MISP",168.54912757401,3.86717685802476,0.625822956836393,2.33725154469868e-14,3.59642646629628e-12
"TBC1D24",128.758266787976,-1.53220868507358,0.213790840972042,2.51077981964257e-14,3.83802428351283e-12
"BCAS1",182.945805982079,4.12694415444281,0.736168419968014,2.62723912107848e-14,3.98979744955938e-12
"MSLN",122.586902168797,5.31007908386117,0.995090062374974,2.67825049567307e-14,4.04085391343921e-12
"LINC03141",34.0133670444656,-4.93836642404659,0.888586245396554,2.73030124344648e-14,4.09280963815994e-12
"AMBP",124.411088322248,-4.55812538095684,0.909568855412857,2.92754024207857e-14,4.3603459951728e-12
"GUCA1C",44.9296515022144,-8.23240820245728,1.51670029182513,3.01135239163092e-14,4.45660973372894e-12
"BEX1",88.209556556447,-3.59064950210982,0.622835959764198,3.32073958216199e-14,4.88337874629961e-12
"IGKC",1549.7590443125,3.36379972148027,0.568164475838087,3.95147031574984e-14,5.7743655840533e-12
"PLIN5",110.608941133523,-3.90834052823483,0.708451210680171,4.1670087928221e-14,6.01706403420093e-12
"LOC102724560",145.812672148845,-3.95284730125698,0.705235545979537,4.16934499464752e-14,6.01706403420093e-12
"UGT1A9",22.1388066621211,5.94636509482875,1.00769021621831,4.485777624646e-14,6.43376809312653e-12
"TPST2",975.430880959109,-3.34968083551595,0.552325126483227,4.59479536163377e-14,6.54969755997305e-12
"OSBPL3",238.639853673579,2.09172725179387,0.311284945015517,5.12361129795693e-14,7.2589700309774e-12
"CBS",178.841054136384,-3.93410182667835,0.716766232253237,5.15495039801307e-14,7.25910742411113e-12
"LOC105376767",126.156696608314,-5.89024362659292,1.26335782994592,5.53301467264661e-14,7.69817939634396e-12
"UGT1A3",22.4658547029061,5.98086358788066,1.01144598466652,5.51359951242562e-14,7.69817939634396e-12
