"","GSM3747758","GSM3747759","GSM3747760","GSM3747761","GSM3747762","GSM3747763","GSM3747764","GSM3747765","GSM3747766","GSM3747767","GSM3747768","GSM3747769","GSM3747770","GSM3747771","GSM3747772","GSM3747773","GSM3747774","GSM3747775","GSM3747776","GSM3747777","GSM3747778","GSM3747779","GSM3747780","GSM3747781","GSM3747782","GSM3747783","GSM3747784","GSM3747785","GSM4490231","GSM4490232"
"INTS11",120.434149794294,71.5607210804873,156.854341344544,155.373162290384,178.305048224665,191.924109450709,103.492388502114,96.9826598166252,192.342500074452,133.822145438597,224.833667397155,62.667566757641,71.2189515119645,129.285317010301,146.078427101897,108.055227457405,90.3251687521791,104.935998092971,79.7262129754824,87.0066666448652,120.333240261621,71.0500774050256,120.490707697246,148.462082344963,121.935515627371,87.4855303075888,169.156286314708,65.4023508648179,63.968293694389,208.5801549029
"CPTP",37.1338628532408,11.9267868467479,69.0906027350967,35.7304136277537,42.3597628379039,39.6537416220474,25.5948917800926,17.1145870264633,59.9967431424896,35.6859054502924,62.4537964992098,5.59531846050367,11.2908093860431,73.6435350058677,28.5805618242841,26.0132954990049,26.7630129636086,25.0933908483192,21.743512629677,20.9256540031954,12.0333240261621,23.1325833411711,38.0496971675515,22.0373403480805,21.8391968287829,15.6224161263551,34.8262942412633,13.7264193173075,33.8223162062286,162.727641898053
"TAS1R3",13.0470328943819,3.97559561558263,9.33656793717523,10.2860281655655,15.761772218755,17.4476463137009,3.33846414522947,0.760648312287256,24.7045412939663,23.5781875296575,12.490759299842,3.3571910763022,4.34261899463198,8.18261500065197,15.8780899023801,13.0066477495025,3.34537662045108,7.98426072446519,3.62391877161283,3.30405063208349,2.40666480523241,8.81241270139853,6.34161619459192,10.4387401648802,10.9195984143914,13.2790537074019,9.95036978321809,7.26692787386866,4.411606461682,11.5119075203659
"DVL1",138.499272263438,68.9103240034322,253.954647891166,153.749052580031,187.171045097715,204.613306769765,103.492388502114,40.6946847073682,358.215848762512,186.07650699081,214.841059957282,40.2862929156264,63.4022373216269,154.651423512322,98.4441573947564,136.069545687103,83.634415511277,46.7649556718676,62.8145920412891,45.1553586384744,113.113245845923,75.4562837557249,107.807475308063,113.666281795362,78.2571219698052,55.4595772485607,116.087647470878,46.0238765345015,62.1301243353548,151.410851454304
"MXRA8",42.151952428003,358.245338248612,74.6925434974018,215.465221573424,145.796393023483,245.853198056694,24.4820703983495,143.382206866148,52.938302772785,275.291270616541,47.4648853393994,220.455547343844,153.728712409972,53.1869975042378,411.242528471644,101.051647899981,13.3815064818043,15.9685214489304,76.1022942038695,363.445569529184,24.0666480523241,69.3977500235134,145.857172475614,328.820315193727,168.343808888535,89.0477719202243,23.2175294941755,36.3346393693433,125.730784157937,42.9257568556016
"AURKAIP1",129.466711028866,42.8480860790572,91.4983657843172,112.604939917769,102.451519421907,51.5498641086616,74.5590325767916,81.7696935708801,84.701284436456,79.0187906399332,144.892807878167,66.0247578339433,33.003904359203,138.286193511018,65.1001685997583,71.0363069395903,63.5621557885705,58.1710424211035,60.3986461935472,28.6351054780569,60.1666201308104,47.3667182700171,120.490707697246,90.4690814289619,78.2571219698052,41.3994027348411,84.5781431573538,53.2908044083702,117.27520510638,192.775671696974
"CCNL2",564.033268203278,705.005622496652,1387.41399546424,518.63236750588,766.41617413696,1213.40449363465,745.590325767916,369.294755615463,1072.88293619511,1068.02817026232,1054.22008490666,465.530495913905,675.711515564736,540.05259004303,477.93050606164,444.227046213776,541.951012513075,457.384078644363,555.667544980635,570.499409139749,921.752620404015,649.364660934304,640.503235653784,511.498268079131,304.838789068427,358.53445009985,1006.6457430689,503.840332588227,418.734979987983,802.711653199749
"MRPL20-AS1",56.2026032373374,50.3575444640466,33.6116445738308,49.8060311174749,45.3150951289205,34.8952926274017,40.0615697427537,30.4259324914903,52.938302772785,53.5288581754386,49.9630371993678,32.4528470709213,20.8445711742335,45.0043825035858,39.6952247559502,52.0265909980098,53.5260259272173,52.4679990464855,50.7348628025797,42.9526582170854,55.3532905203455,55.0775793837408,44.3913133621434,52.7736308335611,59.1478247446202,36.7126778969346,49.7518489160904,32.297457217194,33.4546823344218,39.999000706356
"MRPL20",135.488418518581,92.3221648507521,80.2944842597069,100.153432138401,98.5110763672185,81.6867077414176,89.0257105394527,75.684507072582,149.991857856224,89.8520119373434,119.911289278483,120.858878746879,66.8763325173325,96.5548570076932,109.558820326422,117.059829745522,83.634415511277,83.2644332694227,77.3102671277405,85.9053164341707,89.0465977935993,91.4287817770097,82.4410105296949,117.725791859482,165.613909284937,92.1722551454953,127.696412217965,66.2097872952478,80.1441840538896,115.509309356891
"ANKRD65",14.0506508093343,7.95119123116525,24.2750766366556,22.7375359449342,36.4490982558708,14.2753469839371,10.0153924356884,13.6916696211706,40.5860321258018,30.5879189573935,34.9741260395575,19.0240827657125,15.6334283806751,1.63652300013039,58.7489326388062,25.0127841336586,13.3815064818043,2.2812173498472,10.8717563148385,23.1283544245844,4.81332961046483,19.2771527843093,31.7080809729596,9.85881015572021,14.5594645525219,13.2790537074019,28.1927143857846,6.45949144343881,6.24977582071616,2.14628784278008
