"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"COQ7",495.805547650923,-0.502148532388993,0.107614183920254,4.30613839055847e-07,3.22611905664904e-05
"KMO",732.625967066849,1.53425949681202,0.345929157314252,4.29766032540172e-07,3.22611905664904e-05
"MPZL3",881.862533683894,-0.616672487139023,0.133943643068144,4.26530073017336e-07,3.22611905664904e-05
"SDC3",1169.3044247119,1.39453148293714,0.313719427544965,4.39776404484424e-07,3.27582872328886e-05
"VDR",2447.05106005507,0.806504764234218,0.178406364249959,4.6584289870656e-07,3.45016560579185e-05
"LDHB",2524.40343199073,-0.565596240138616,0.122698886303763,4.69047339210827e-07,3.45416054744974e-05
"STAT1",25501.981161485,1.80655025442849,0.40830824292741,4.87416504796958e-07,3.56915554727309e-05
"GBP2",475.032820427872,2.03174149596168,0.462195335430052,4.94409630926352e-07,3.5799124170036e-05
"SKI",856.006859541774,-0.501333987153179,0.108011169552125,4.92457239575818e-07,3.5799124170036e-05
"SRSF8",894.847082761255,-0.693996131200402,0.153071807065999,5.06491185810478e-07,3.64701792182756e-05
"RPS13",12523.4604087082,-0.580237791209382,0.127933425010536,5.53951643611618e-07,3.95851901086425e-05
"SECTM1",2589.81300335613,0.91709615777941,0.205848167333193,5.60863740073495e-07,3.95851901086425e-05
"SIGLEC1",5394.40603203288,4.54159079240904,1.05303783053015,5.61968596558153e-07,3.95851901086425e-05
"TMEM18",557.706093384842,-0.501011462660007,0.108635756639064,5.60455286055375e-07,3.95851901086425e-05
"LILRB1",13148.7413872229,1.03671045227099,0.237461272758192,5.71036515435303e-07,4.00065096030106e-05
"SON",19088.6192078847,0.286365403316146,0.0597926050303203,6.06476836185903e-07,4.20350068117941e-05
"UHMK1",8369.9027375457,0.400196702292153,0.0855178413910523,6.05938156345382e-07,4.20350068117941e-05
"APOBEC3F",445.139082298139,1.19324805846226,0.272226739660473,6.43899503831161e-07,4.43913907933813e-05
"ASB13",899.184958273329,-0.710240042586133,0.15882638842293,6.56376358317825e-07,4.50121374611499e-05
"MXI1",873.627586081345,-0.614235893107184,0.135597923018862,7.10706736662261e-07,4.84814211256819e-05
"LILRB4",4262.14888384367,1.06646420100468,0.245761316613222,7.28986316500703e-07,4.93773864328763e-05
"LY6E",16144.2402017611,3.08120543636312,0.71653777298135,7.31460396197226e-07,4.93773864328763e-05
"IDO1",185.626174875056,3.59274941186012,0.843695224506348,7.99358907226596e-07,5.36812994640617e-05
"AL078584.1",3025.51409575679,0.554138453508656,0.123065849076115,8.17075771247975e-07,5.45882426347681e-05
"VWA5A",524.04667057446,0.582332454213329,0.130011496448737,8.25886741728236e-07,5.48939387668701e-05
"FCER1A",40.5312993957457,-0.106324166976411,0.254119503087836,8.34670788588696e-07,5.51947351576433e-05
"CASZ1",371.301414440967,0.942882106918886,0.216718606022803,8.75844308293172e-07,5.76234420293797e-05
"PSMB9",6521.15618244737,1.20702836739586,0.279210752902839,8.84763965941943e-07,5.79162917301693e-05
"SPTLC2",617.46489515075,1.67410776500764,0.391212486889451,9.16813695384274e-07,5.97126749038974e-05
"IL4I1",443.815262662069,1.81260152728601,0.425682307643919,9.65061801041077e-07,6.2540830016467e-05
"USP6NL",624.675057942483,0.417004002797571,0.091360416210208,9.82688517377909e-07,6.3366297879279e-05
"DUSP5",785.496791666031,1.03359068733166,0.240543265047702,1.01704914216149e-06,6.52572966908668e-05
"ZKSCAN1",4262.54030005205,-0.355954500748699,0.0773447577033226,1.05448931055835e-06,6.73262854884076e-05
"LYPD5",43.3124817445056,3.05866910506918,0.725036165447225,1.07063841453015e-06,6.80222769153201e-05
"ARID5B",645.363040015983,1.41823277522232,0.334173930704182,1.09511526855558e-06,6.8901888328878e-05
"IL15RA",424.391891824802,1.43534373126555,0.33911259075052,1.09356003773544e-06,6.8901888328878e-05
