"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"TMEM185B",25.9450572165456,43.9087708359434,34.2737375913843,42.0954476965121,23.0393079749357,6.97548030881785,71.8473014210848,41.7379723656743
"TMEM186",111.559485753844,169.458974150073,119.231224269022,246.599785051636,150.738578931127,149.523030655969,178.801489452696,111.904818170611
"TMEM187",138.732616283349,176.106979769803,137.194235705759,221.861692244113,188.898082711887,197.974675148809,292.711433292858,155.841226959577
"TMEM189",409.798672758011,929.181399556679,369.622653876798,1140.72372555035,390.384045875267,768.546946211713,1813.60122055887,858.745089317266
"TMEM189-UBE2V1",64.5884971911626,36.3224087707647,22.3879531992472,0,32.1049073284447,0,12.1518656265167,0
"TMEM19",394.846775400267,599.427004071737,705.460674659461,1320.49112085225,767.498623911945,910.163490926475,1124.12942990875,842.406501445249
"TMEM190",0,0,0,0,0,0,0,0
"TMEM191B",48.6638581746795,124.866402482268,34.7067570711826,94.6702784089006,29.5511631741629,54.167388170388,174.26338679128,28.7414085727023
"TMEM191C",84.5852674318589,147.091815588185,79.5776415523358,108.009824750674,69.8682953966707,93.9343739529688,296.044680035582,107.943389176089
"TMEM192",211.326300277913,321.148913863776,193.898078602219,573.510536063893,213.290565523036,342.708685096095,663.828940444337,306.765688823789
"TMEM196",0,0,0,0,0,0,0,0
"TMEM198",0,0,1.00763509250225,0,1.00672752990749,0,0,0
"TMEM199",847.4579454217,1235.65353725086,873.381683792032,1907.39665306445,1155.06556870628,1224.5368497853,2329.16366528729,943.403371536264
"TMEM2",3282.08801281667,5323.46567373841,5154.37724047595,11335.8097179282,7701.68513179797,6906.47873933001,13156.2641968789,6308.51355515448
"TMEM200A",0,3.09258270516663,4.14873164057718,7.25013829845268,0,0,9.99353294448474,0
"TMEM200B",0,0,1.00822146158669,0,1.00612207185951,0,0,0
"TMEM200C",0,0,0,0,0,0,0,0
"TMEM201",89.6798392771959,182.44017657511,61.4757827286184,224.059830109309,31.3734542046072,64.5401811536007,214.841714856688,167.521074097529
"TMEM202",0,0,0,0,0,0,0,0
"TMEM203",22.0908631585083,22.9300130653536,24.8849827223899,55.1329199174986,35.9532958606227,8.06899244206334,67.533029754117,36.6575290138696
"TMEM204",17.8170411970724,34.452453059089,38.4294308026566,244.160402502294,234.793098686531,10.9959603628529,42.4589881810959,11.7440728669554
"TMEM205",1455.54917941165,2302.88232101513,1394.79348827489,2255.54250211012,1394.33492330336,2271.71051142939,3476.65582882027,1924.94740270029
"TMEM206",54.8210008131704,86.3018240292322,14.6014996335773,241.242921210757,266.559561553997,78.7555665559334,529.436636950412,104.828103710861
"TMEM207",0,0,0,0,0,0,0,0
"TMEM208",499.641251427421,762.259987965736,591.877040466868,1161.38522845653,635.680053439498,778.443735438896,1799.92301845318,836.112618826286
"TMEM209",308.489979441108,204.117350949709,176.449396990156,544.880753073908,214.056115818595,274.469193851764,437.452077446351,149.84527750173
"TMEM210",0,0,0,0,0,0,0,0.994647481864948
"TMEM211",0,0,0,0,0,0,0,0
"TMEM212",0,0,0,0,0,0,0,0.994667195530748
"TMEM213",0,0,0,2.00583788053526,1.00186243795276,0,0,0
"TMEM214",1363.15476033889,1729.97490629233,1339.15503075633,2628.04239830756,1320.1921475144,1917.13790515659,3295.6601430215,1736.0515972149
"TMEM215",0,0,0,0,0,0,0,0
"TMEM216",259.866510161025,346.850787694416,216.128228904711,424.248965540151,295.20134457696,355.136493781206,594.730361380865,265.762944145061
"TMEM217",2.75233320607637,2.13140242949237,0,10.9576907850712,0,3.3178333595254,8.38728295577846,0
"TMEM218",288.056230284669,388.049782241276,289.137535643778,414.791823610351,350.075385871524,388.026215101985,643.670934327361,382.968807717234
"TMEM219",992.66239522105,1607.03266110862,997.313256222794,2734.9891313286,1703.79308470263,1485.95624414925,3288.04671175875,1370.4089667365
"TMEM220",29.6950732048017,37.6060829086759,20.4691673598868,34.7632157772218,0,35.1131381023506,38.7235477502484,33.6742536968711
"TMEM221",0,0,0,0,0,0,0,0
"TMEM222",465.356592816743,705.569757494067,446.381961619032,1334.83026163756,655.0608512101,710.770855978194,1087.46310079183,712.453580833392
"TMEM223",122.344314813285,125.455057095742,121.009939836508,239.885938464238,115.19864581924,208.620126754812,335.396280675904,178.763727884991
"TMEM225",0,0,0,0,0,0,0,0
"TMEM229A",0,0,0,0,0,0,0,0
"TMEM229B",785.190028275925,1383.84707476618,675.936545233695,3675.39537330149,2820.00419657758,751.578093398489,4427.23911784205,904.570822513932
"TMEM230",1664.30489885566,2771.65604854792,1909.66374379633,4138.33195029478,2442.5937086774,2894.32879084128,5433.43073381626,2935.09546152409
"TMEM231",0,3.91062777749556,0,0,1.6776671427994,0,1.67600533941711,0
"TMEM232",0,0,1.99188359331199,0,0,0,4.99745413190782,0
"TMEM233",0,0,1.00416029154692,0,0,1.00174812466234,0,0.993484755253709
"TMEM234",246.33180827206,398.16906131253,229.06419113333,533.696174827875,317.881040830132,367.358327508954,798.967071120539,474.909955516313
"TMEM235",0,0,0,0,0,0,0,0
"TMEM236",5.98820253177133,11.9748060873403,8.06202156314867,14.0318548854649,8.01316613780825,12.9658590685113,47.4734484626965,18.8802357015436
"TMEM237",67.5592436867123,38.2708995054331,69.4108362640516,79.3882829866783,92.8352416059547,31.4136813754899,70.8955750031682,10.9018887513994
"TMEM238",2.04435486600981,8.9634116811809,5.78568186811813,11.0017651213213,4.95004691109722,3.34277772696368,5.98143631643119,2.9453280782908
"TMEM239",0,0,0,0,0,0,2.97390756923167,0
"TMEM240",5.95001768839224,7.02449602776031,4.01807274654298,10.0979797472053,4.64386362466067,4.24946717221847,2.37268195745983,3.97677700433817
"TMEM241",62.2276340604574,44.8034478399031,20.2040178478847,107.169182187213,57.9324789301413,83.7418633558975,116.530794726168,58.6980891478741
"TMEM242",408.848310131601,627.350825070002,422.504072630945,666.028193077469,334.360098898821,564.251950072957,843.517439410141,575.001406269171
"TMEM243",282.049003209316,376.729174167261,299.782241030724,263.25936998458,214.965360093237,341.468770164766,594.907603400473,305.321239414494
"TMEM244",0.996082096362893,0,0,0,0,0,0,0
"TMEM245",193.464435606295,323.675640193719,245.409016457073,388.367640016095,274.684015094319,336.682974835161,688.385624273738,268.93163539092
"TMEM246",0,0,0,0,0,0,0,0
"TMEM247",0,0,0,0,0,0,0,0
"TMEM248",2119.27719726119,2977.53542007907,2129.08749301626,4198.2412622511,2117.24532625362,2981.41617837599,4738.30681266816,2641.09393494533
"TMEM249",0,0,0,2.88460073181348,0,0,0,0
"TMEM25",0,10.9674546878753,7.45629510012308,8.84220977781408,4.40887794122846,1.0285598613096,9.55041680398569,4.04683545282077
"TMEM251",341.529791199017,564.523151733285,351.753650548926,747.898976698455,448.206673194576,534.505299433332,847.951112465423,457.524317531173
"TMEM252",4.02685873720515,12.9552785925021,4.95149674019486,29.0718318978315,14.9621323738079,2.02737156716702,6.9560744983539,3.95804585228673
"TMEM253",0,0,0,0,0,0,0,0
"TMEM254",295.405732832866,737.122418077218,413.607052185379,1100.60042537715,671.4508799004,454.619556046971,1183.81041713416,547.624641899031
"TMEM255A",44.8202826497119,11.4099380409506,40.3497070162355,607.779170527808,630.291276115576,23.7049451877304,0,4.74858133673669
"TMEM255B",66.2822784584634,155.803070193867,48.3661241590816,203.673202691099,91.136674173668,137.62881642623,223.107137798094,180.333902981007
"TMEM256",274.955454482293,400.310442220367,273.663935939345,379.080464275467,274.35705326938,443.690316076118,728.255178457126,383.905355632345
"TMEM256-PLSCR3",353.745569810724,684.498785668629,411.282410592784,1182.50187827283,588.658923914483,559.931590904369,1451.24651670923,582.567720452278
"TMEM258",657.089083012983,860.892461207417,599.108877100994,1177.81176293133,861.694355483924,793.767321215778,1645.68432432011,880.198128828785
"TMEM259",794.308996730898,1439.62923903415,839.366062061972,1996.02962705923,892.612611223144,1287.28445414434,1989.45354915162,1172.88285858645
"TMEM26",0,0,0,0,0,0,1.98260737566232,0
"TMEM260",474.167767210201,919.771647705226,520.24113488314,1371.06292352024,801.337124630497,800.32044979349,1738.30319976308,745.144963616803
"TMEM261",163.313310343781,320.721521624296,191.125028023083,458.729724607348,274.003888364181,282.875278197034,520.009079457993,262.22665889175
"TMEM262",0,0,0,0,0,0,0,0
"TMEM263",52.2003078754275,49.4261237015924,39.193796168994,207.424214814367,116.569148637173,97.7768089092359,148.402046650707,43.584554953149
"TMEM265",15.06050531495,0,0,0,3.3579782786393,0,7.91013910657795,0
"TMEM266",0,0,0,0,0,0,3.96510670194256,0
"TMEM267",22.1208235151908,74.14385168819,89.1444926091499,95.9482889090598,43.9746434307669,85.9254243893893,270.171804684215,37.342601107734
"TMEM268",705.982512863631,1377.35742761144,776.179809502504,2602.47825171054,1947.57401353622,1265.18260281368,2963.54353088353,1047.55486402645
"TMEM27",0,0,0,2.92453670862518,1.99108052093146,1.00946784868952,0,2.96277858719027
"TMEM30A",3206.62312931963,4345.75049761935,3412.61748373135,7744.44564222402,5900.95345241061,5149.27374454091,10001.8500195802,4495.23067262098
"TMEM30B",0,0,0,1.00217275126969,0,0,0,0
"TMEM31",0,0,0,0,0,0,0,0
"TMEM33",1994.8540142476,2828.12446168506,2079.39604937478,5856.43443013637,2779.39407811191,2663.65487168807,6860.43197291648,2712.64985646835
"TMEM35A",0,0,0,0,0,0,0,0
"TMEM35B",234.918437502447,344.094735826774,179.68978593083,531.576277039486,366.908974031288,371.690703413923,725.170217940999,318.530378437395
"TMEM37",1.00329260011936,0.996901737026277,0,0,1.99777885608598,0,2.97850557582854,4.95465654841099
"TMEM38A",106.906325701603,528.801112400841,255.815527939725,561.176982432259,386.109555769529,231.332749311836,853.121191997634,237.212119643481
"TMEM38B",143.545588202871,339.521517309031,105.118082404218,180.393427641146,252.921123668682,200.375234419155,501.423055755234,222.496762552501
"TMEM39A",317.279019474924,395.208676673953,348.830195612189,593.637019566676,439.220989274744,382.774042426078,799.33683139101,371.628148632776
"TMEM39B",439.004600779763,816.810606348026,590.842960134783,1143.18290657601,531.903964431896,755.068418988844,1180.41994579364,634.755766499514
"TMEM40",75.8566140616941,174.697656327689,138.873187581917,181.513059775854,52.0886432867945,52.7776903561022,130.069759043019,131.213364031697
"TMEM41A",318.445259580097,388.143758609627,254.573279825561,650.255569323931,436.945269172536,356.424584015851,577.614073742601,325.429165155008
"TMEM41B",441.297926858749,578.761650026606,361.136888210745,1434.18290394222,644.735361889491,608.845314680932,1181.61554861617,456.978747860156
"TMEM42",145.160210122491,152.265202924424,117.397727119838,185.090214455502,130.055101546456,158.736282815193,321.566552763506,124.166168505283
"TMEM43",2188.09943647654,3155.89868303698,2271.81950506877,3339.76235286356,2200.27327089721,3180.83168488584,5620.19938400616,2674.16769505902
"TMEM44",0,3.58386717706922,3.31550774620472,0,12.457039502988,0,2.96735821879296,3.47303751381448
"TMEM45A",0,0,0,0,6.08383468177637,0,9.86314526848746,0
"TMEM45B",0,8.77394062113087,0,9.2037593489026,8.0407345621846,14.3536430330227,61.1412131923732,0
"TMEM47",0,0,0,0,0,0,0,0
"TMEM5",138.170311862019,259.082316547691,207.935959954502,257.312607015887,259.214031223196,247.386511519068,442.594647051164,195.655124934518
"TMEM50A",4170.78442978088,5716.69139542484,4339.51980041641,9305.40159949836,5418.93509284036,4615.43271443552,10847.9771945205,6376.14318977054
"TMEM50B",950.77172229408,1751.906345936,1226.06589645715,2551.62096373802,1332.03037190974,1715.42744591593,2743.53802038078,1453.88447358886
"TMEM51",174.140310769299,106.231516770218,151.505996566567,520.231351628953,458.730079114818,331.776951439023,946.75526001733,226.108151649219
"TMEM52",0,0,0,3.42886107503963,0,0,0,1.75167341578811
"TMEM52B",0,0,0,17.6671234568201,0,0,12.0063848362809,0
"TMEM53",74.5556311517348,124.359652090537,36.3627042454999,108.307840959556,60.1554135876134,134.926407858954,218.900676423004,124.872332786655
"TMEM54",0,0,0,0,0,0,0,0
"TMEM55A",822.654071986598,1111.91920565825,897.223082760434,1873.17666573288,984.023740148781,1000.33670234099,1937.50671747316,841.938936437712
"TMEM55B",856.423923945321,1284.06580276274,1119.20934513605,1848.90026945313,1046.13968554302,1278.3523890819,2543.85388244219,1430.09848234875
"TMEM56",0,0,0,0,0,0,0,5.96779431424914
"TMEM56-RWDD3",39.4491188101416,35.8540067734977,34.992803210279,50.9137444582244,40.0678870672485,33.4679561801218,43.1880114823429,12.5655913992858
"TMEM57",464.806879447804,689.03637717128,371.27016227119,970.900002799142,425.026556557047,624.090704712516,984.088461619525,540.73647327109
"TMEM59",1144.52781983519,1989.85914345613,1434.55050922734,3109.7174340159,2289.91517588204,1704.15428596968,4030.54576403354,2155.47909473386
"TMEM59L",0,0,0,0,0,0,0,0
"TMEM60",148.590056338146,186.597764280202,150.562590778043,496.619025276133,284.027454201113,200.518707722593,510.401173029068,192.495191072636
"TMEM61",0,0,0,0,0,0,0,0
"TMEM62",311.071369527823,538.999022194674,225.621828030203,887.050764818461,516.067439342818,439.368400613231,847.6970045296,442.058951309619
"TMEM63A",1054.49457894757,2111.76979404364,1384.80960852036,4435.63860464196,2669.00787490773,1313.76056831764,4160.69343639518,1570.17411903826
"TMEM63B",478.229683937257,633.83949358095,496.075697642113,1063.51455404015,640.081914400024,735.385408449499,1778.5558091215,864.770130095431
"TMEM63C",46.5111755717056,24.7368830895159,184.522703324876,13.1160872631047,258.766956847067,34.7604318786939,592.938196247312,122.681404085324
"TMEM64",224.88769062405,124.409718316156,201.084839038302,144.76405950857,95.2824160176793,163.651993208598,296.244818465482,85.9400931199447
"TMEM65",740.529369075685,1444.28255445958,749.78461452855,1292.71708660906,589.709548982266,999.280169480406,1845.57914064499,889.340028263132
"TMEM67",15.1206262153806,14.7572101358651,24.6335207635239,6.80653646461503,25.1485255784032,19.9667508650546,19.5816356964124,36.3381681469725
"TMEM68",322.756207262005,335.899884275433,280.837807819215,700.024854411139,416.554457873614,323.418709877682,702.516326396175,325.449065863983
"TMEM69",525.681035255404,770.939514033411,622.015975331919,1056.21831590987,567.505768499417,804.289026953404,1432.02762380562,753.288580344575
"TMEM70",646.4974205038,890.341441783609,742.560295313906,1227.40846090255,821.379933092237,1048.6299862002,2065.21790028196,717.262223557438
"TMEM71",227.467704444669,715.344637889368,404.594902004034,631.352051948438,377.828372777771,524.686769810777,679.759848134552,564.528812469763
"TMEM72",0,0,0,0,0,0,0,0
"TMEM74",0,0,0,0,0,0,0,0
"TMEM74B",0,0,0,0,0,0,0,0
"TMEM79",271.622705097155,362.478232172689,224.979719732683,457.335686952323,368.239520783688,346.852265281495,958.230777037475,359.161503982555
"TMEM80",529.523946240191,912.305134826608,608.023664678676,918.80129157693,549.008392862171,681.320548579996,1274.50234272968,706.90283316829
"TMEM81",40.2390478081134,75.7472004788222,72.3975877140195,73.1795385447231,56.8759779645206,85.0283301903575,181.82060154937,67.3105790334853
"TMEM82",0,0,0,0,0,0,0,0
"TMEM86A",148.873833908723,439.998303798725,273.481027683383,244.561481802414,137.149636872814,367.608876693042,430.52357580648,433.01143472278
"TMEM86B",16.1668252762528,23.5015522937851,12.4152128375335,24.7282427507157,16.9532359571233,26.5150717844833,24.9984235584673,21.7316401410054
"TMEM87A",103.48596279726,136.553627894716,191.709257307673,396.066962630633,126.31853728112,154.994307904788,411.60246174674,238.000161092797
"TMEM87B",1728.29354583948,2884.93275913407,2195.56362870272,4818.77082772224,2113.83682388596,2189.02530488827,5571.86779740953,2749.56330110439
"TMEM88",8.46797034126508,44.0775455589687,32.5849106764187,49.6163290289188,28.8386382363093,24.2716945730029,119.131150317384,83.7242746914965
"TMEM88B",0,0,0,0,0,0,0,0
"TMEM89",0,0,0,1.00061637088882,0,0,1.00487146234292,0.982829680989462
"TMEM8A",1468.55951852562,1546.9191373146,1513.11161999421,3630.37541784421,2261.64713741662,2481.75003996205,4517.05318231923,1957.61004863706
"TMEM8B",180.108032262794,300.350550201304,179.540883282898,121.486540974551,83.8564249026466,272.287997658517,247.1342919495,222.168359574163
"TMEM8C",0,0,0,0,0,0,0,0
"TMEM9",420.922256598802,599.587935185844,415.038749995212,882.800195830087,309.382137148055,602.579946335975,1098.15837678288,574.747702655631
