"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"WBSCR27",0.775043,0.761134,0.168205,0.207533,2.504502,0.606248,0,0.183486
"WBSCR28",0,0,0,0,0,0,0,0
"WDCP",2.244583,2.458471,2.164309,2.449497,2.070704,2.635389,1.651843,1.227495
"WDFY1",31.339806,27.98863,27.718581,66.31494,76.57572,29.987448,47.263301,26.0401
"WDFY2",3.611354,2.795146,3.627787,2.648114,1.753608,2.738468,3.136408,3.689398
"WDFY3",22.776675,20.039058,21.895607,29.006126,24.025771,20.290401,21.443728,20.842131
"WDFY4",16.539781,17.204779,17.21667,17.522576,18.175695,16.527498,17.69525,21.842307
"WDHD1",0.196996,0.67578,0.48754,0.273435,0.445252,0.129697,0.359956,0.122202
"WDPCP",4.024167,1.930801,2.76097,0.458279,1.430152,2.759097,1.445433,1.634727
"WDR1",189.28217,185.803009,203.011564,196.70727,157.259535,187.497458,194.749356,207.691964
"WDR11",49.43506,38.396814,61.581878,40.539457,30.582572,40.675011,37.852869,56.637493
"WDR12",0,0,0.02538,0,0.034277,0,0,0
"WDR13",36.242544,30.501646,24.506222,20.189538,20.762146,29.344069,26.857551,32.764627
"WDR17",0.57098,0.317231,0.516269,0.242296,0.735729,0.029823,0.288288,0.62457
"WDR18",14.440118,19.497358,12.159303,17.267618,12.096396,17.973104,18.633131,15.378749
"WDR19",3.383807,1.836477,1.501664,1.601689,1.26437,2.056698,1.287983,2.331084
"WDR20",17.114063,13.504853,15.531159,17.600395,18.037484,21.779941,11.992666,13.265624
"WDR24",7.362672,6.981292,6.448008,6.518752,6.335528,6.148859,7.157425,6.434561
"WDR25",7.607997,5.479573,4.055237,5.260786,5.654554,6.835267,2.970039,6.213367
"WDR26",5.890832,4.4416,6.373577,4.596671,3.895837,5.020942,4.627239,4.87908
"WDR27",2.365032,1.986873,1.364342,1.319805,1.424056,1.525572,1.074628,1.620437
"WDR3",0.107989,0.269693,0.366344,0.131571,0.159733,0.077397,0.154159,0.106924
